10, 0.31394, 0.005
20, 0.05129, 0.005
30, 0.05511, 0.005
40, 0.04245, 0.005
50, 0.03374, 0.005
60, 0.03626, 0.005
70, 0.03453, 0.005
80, 0.03561, 0.005
90, 0.03476, 0.005
100, 0.02752, 0.005
110, 0.02626, 0.005
120, 0.02934, 0.005
130, 0.02511, 0.005
140, 0.02406, 0.005
150, 0.02426, 0.005
160, 0.02870, 0.005
170, 0.02678, 0.005
180, 0.02324, 0.005
190, 0.02429, 0.005
200, 0.02426, 0.005
210, 0.02844, 0.005
220, 0.02868, 0.005
230, 0.03050, 0.005
240, 0.02499, 0.005
250, 0.02463, 0.005
260, 0.02641, 0.005
270, 0.02351, 0.005
280, 0.02237, 0.005
290, 0.01668, 0.005
300, 0.02505, 0.005
310, 0.01921, 0.005
320, 0.02426, 0.005
330, 0.02183, 0.005
340, 0.01854, 0.005
350, 0.01833, 0.005
360, 0.02033, 0.005
370, 0.02288, 0.005
380, 0.01480, 0.005
390, 0.01734, 0.005
400, 0.01887, 0.005
410, 0.01600, 0.005
420, 0.01562, 0.005
430, 0.01795, 0.005
440, 0.01150, 0.005
450, 0.01428, 0.005
460, 0.01362, 0.005
470, 0.01695, 0.005
480, 0.01240, 0.005
490, 0.01219, 0.005
500, 0.01498, 0.005
510, 0.01454, 0.005
520, 0.01706, 0.005
530, 0.02656, 0.005
540, 0.01573, 0.005
550, 0.01449, 0.005
560, 0.01423, 0.005
570, 0.01484, 0.005
580, 0.01344, 0.005
590, 0.01552, 0.005
600, 0.01415, 0.005
610, 0.01393, 0.005
620, 0.01404, 0.005
630, 0.01257, 0.005
640, 0.01344, 0.005
650, 0.01296, 0.005
660, 0.01081, 0.005
670, 0.01102, 0.005
680, 0.01011, 0.005
690, 0.01243, 0.005
700, 0.01142, 0.005
710, 0.01383, 0.005
720, 0.01111, 0.005
730, 0.01664, 0.005
740, 0.01232, 0.005
750, 0.01324, 0.005
760, 0.00930, 0.005
770, 0.01138, 0.005
780, 0.01031, 0.005
790, 0.01501, 0.005
800, 0.01496, 0.005
810, 0.01429, 0.005
820, 0.01167, 0.005
830, 0.00834, 0.005
840, 0.01024, 0.005
850, 0.01170, 0.005
860, 0.01162, 0.005
870, 0.01101, 0.005
880, 0.01486, 0.005
890, 0.00771, 0.005
900, 0.01057, 0.005
910, 0.01012, 0.005
920, 0.01145, 0.005
930, 0.00899, 0.005
940, 0.01536, 0.005
950, 0.01264, 0.005
960, 0.01308, 0.005
970, 0.01107, 0.005
980, 0.01239, 0.005
990, 0.01146, 0.005
1000, 0.01126, 0.005
1010, 0.00883, 0.005
1020, 0.01130, 0.005
1030, 0.01052, 0.005
1040, 0.01135, 0.005
1050, 0.01189, 0.005
1060, 0.00910, 0.005
1070, 0.00864, 0.005
1080, 0.01007, 0.005
1090, 0.01208, 0.005
1100, 0.01021, 0.005
